Description,Place Type,Visitors,Europe,Americans,Oceania,Africa,Southeast Asia,North Asia,South Asia,Date,Url
Integrated Resort(MBS/RWS),Paid-access Attractions,31,167,53,49,36,112,179,42,2012,https://upload.wikimedia.org/wikipedia/commons/f/f9/Marina_Bay_Sands_in_the_evening_-_20101120.jpg
Sentosa,Paid-access Attractions,20,127,26,26,25,64,110,39,2012,https://preparetravelplans.com/wp-content/uploads/2019/03/Things-to-do-in-Sentosa-Island-Guide-v1.jpg
Singapore Flyer/Flight Experience,Paid-access Attractions,9,71,18,20,19,25,40,20,2012,http://www.stracocorp.com/images/4__.jpg
Night Safari,Paid-access Attractions,8,80,15,21,13,12,49,24,2012,http://1.bp.blogspot.com/-7AWuirR-TXs/UnTIvJ4qoEI/AAAAAAAAA6I/JZlpP68_J74/s1600/DSC_0519color.JPG
Singapore Zoo,Paid-access Attractions,6,46,16,20,5,17,43,13,2012,http://www.streetdirectory.com/stock_images/travel/simg_show/11048348074422/1/singapore_zoo/
National Orchid Gardens,Paid-access Attractions,5,66,20,12,12,8,31,6,2012,https://i.pinimg.com/originals/11/38/bd/1138bd98551a5a178aebcb49433afdb7.jpg
Garden by the Bay,Paid-access Attractions,5,36,17,13,5,17,23,4,2012,"https://upload.wikimedia.org/wikipedia/commons/5/5d/Supertree_Grove,_Gardens_by_the_Bay,_Singapore_-_20120712-02.jpg"
Jurong Bird Park,Paid-access Attractions,4,16,6,5,3,10,34,16,2012,https://upload.wikimedia.org/wikipedia/commons/9/9a/Ara_ararauna_-Jurong_Bird_Park_-sign-8a.jpg
Orchard Road,Free-access Attractions,43,295,78,68,46,199,198,31,2012,http://www.yoursingapore.com/see-do-singapore/places-to-see/orchard/jcr:content/par-carousel/carousel_detailpage/carousel/item_2.thumbnail.carousel-img.740.416.jpg
Chinatown,Free-access Attractions,29,279,77,62,42,86,173,28,2012,http://farm4.static.flickr.com/3509/4058184073_aa87b955c9.jpg
Little India,Free-access Attractions,22,228,62,56,42,55,93,57,2012,http://images.trvl-media.com/media/content/shared/images/travelguides/destination/180027/Little-India-39467.jpg
Merlion Park,Free-access Attractions,19,128,26,24,19,54,122,23,2012,https://www.visitsingapore.com/content/dam/desktop/global/see-do-singapore/recreation-leisure/merlionpark_carousel1_1640x640.jpeg
Singapore River,Free-access Attractions,15,254,53,51,33,24,87,8,2012,https://migachan.files.wordpress.com/2012/06/imgp5329.jpg
Raffles Hotel,Free-access Attractions,9,144,35,26,16,19,45,10,2012,https://kusuisland.files.wordpress.com/2011/07/20110118-_f1b5026_medium_resolution1.jpg
Botanic Gardens,Free-access Attractions,9,113,30,22,19,18,57,9,2012,http://4.bp.blogspot.com/-XG2b3LgSRB0/U6JcApBHxfI/AAAAAAAAb48/010VFdx94RM/s1600/CIMG5008.JPG
Esplanade Theatres by the Bay,Free-access Attractions,7,83,17,15,9,26,30,10,2012,https://upload.wikimedia.org/wikipedia/commons/thumb/f/fa/The_Esplanade_%E2%80%93_Theatres_on_the_Bay.jpg/1200px-The_Esplanade_%E2%80%93_Theatres_on_the_Bay.jpg
Integrated Resort(MBS/RWS),Paid-access Attractions,33,198,72,48,35,149,200,39,2013,https://upload.wikimedia.org/wikipedia/commons/f/f9/Marina_Bay_Sands_in_the_evening_-_20101120.jpg
Sentosa,Paid-access Attractions,17,112,34,29,27,75,110,29,2013,https://preparetravelplans.com/wp-content/uploads/2019/03/Things-to-do-in-Sentosa-Island-Guide-v1.jpg
Garden by the Bay,Paid-access Attractions,12,90,39,23,18,58,62,12,2013,"https://upload.wikimedia.org/wikipedia/commons/5/5d/Supertree_Grove,_Gardens_by_the_Bay,_Singapore_-_20120712-02.jpg"
Singapore Flyer/Flight Experience,Paid-access Attractions,8,70,25,16,21,26,43,16,2013,http://www.stracocorp.com/images/4__.jpg
Night Safari,Paid-access Attractions,8,68,19,22,10,15,55,19,2013,http://1.bp.blogspot.com/-7AWuirR-TXs/UnTIvJ4qoEI/AAAAAAAAA6I/JZlpP68_J74/s1600/DSC_0519color.JPG
Singapore Zoo,Paid-access Attractions,7,53,18,16,5,29,49,12,2013,http://www.streetdirectory.com/stock_images/travel/simg_show/11048348074422/1/singapore_zoo/
National Orchid Gardens,Paid-access Attractions,5,66,18,9,12,19,32,5,2013,https://i.pinimg.com/originals/11/38/bd/1138bd98551a5a178aebcb49433afdb7.jpg
Jurong Bird Park,Paid-access Attractions,3,11,4,3,0,19,20,13,2013,https://upload.wikimedia.org/wikipedia/commons/9/9a/Ara_ararauna_-Jurong_Bird_Park_-sign-8a.jpg
Orchard Road,Free-access Attractions,41,222,87,67,67,231,197,28,2013,http://www.yoursingapore.com/see-do-singapore/places-to-see/orchard/jcr:content/par-carousel/carousel_detailpage/carousel/item_2.thumbnail.carousel-img.740.416.jpg
Chinatown,Free-access Attractions,23,231,65,60,60,78,106,58,2013,http://farm4.static.flickr.com/3509/4058184073_aa87b955c9.jpg
Little India,Free-access Attractions,19,103,41,17,17,83,139,17,2013,http://images.trvl-media.com/media/content/shared/images/travelguides/destination/180027/Little-India-39467.jpg
Merlion Park,Free-access Attractions,19,179,42,44,44,77,127,12,2013,https://www.visitsingapore.com/content/dam/desktop/global/see-do-singapore/recreation-leisure/merlionpark_carousel1_1640x640.jpeg
Singapore River,Free-access Attractions,17,253,74,56,56,37,106,11,2013,https://migachan.files.wordpress.com/2012/06/imgp5329.jpg
Raffles Hotel,Free-access Attractions,11,163,46,30,30,20,77,6,2013,https://kusuisland.files.wordpress.com/2011/07/20110118-_f1b5026_medium_resolution1.jpg
Botanic Gardens,Free-access Attractions,10,118,36,21,21,31,69,8,2013,http://4.bp.blogspot.com/-XG2b3LgSRB0/U6JcApBHxfI/AAAAAAAAb48/010VFdx94RM/s1600/CIMG5008.JPG
Esplanade Theatres by the Bay,Free-access Attractions,5,31,15,9,9,22,28,4,2013,https://upload.wikimedia.org/wikipedia/commons/thumb/f/fa/The_Esplanade_%E2%80%93_Theatres_on_the_Bay.jpg/1200px-The_Esplanade_%E2%80%93_Theatres_on_the_Bay.jpg
